Title,Address,Rating
bp pulse Charging Station,"4101 Gunn Hwy, Tampa, FL 33618",4
Blink Charging Station,"5815 N Dale Mabry Hwy, Tampa, FL 33614",2.8
EVgo Charging Station,"2001 N Dale Mabry Hwy, Tampa, FL 33607",2.9
EV Connect Charging Station,"Lutz, 16625 FL-54, Land O' Lakes, FL 34638",4
Blink Charging Station,"7201 W Linebaugh Ave, Tampa, FL 33625",3
Blink Charging Station,"8822 Thomas Oaks Dr, Tampa, FL 33626",1
Blink Charging Station,"12201 Derby Race Ln, Westchase, FL 33626",2
Tesla Supercharger,"FL-54 #12048, Odessa, FL 33556",3.7
Electric Vehicle Charging Station,"Airport Service Rd, Tampa, FL 33614",4.1
Shell Recharge Charging Station,"11111 N 30th St, Tampa, FL 33612",1
Tesla Destination Charger,"17751 Gunn Hwy, Odessa, FL 33556",1
Blink Charging Station,"3810 Northdale Blvd, Tampa, FL 33624",1
ChargePoint Charging Station,"2902 W Bearss Ave, Tampa, FL 33618",1
Tesla Destination Charger,"12730 Citrus Park Ln, Tampa, FL 33625",1
Blink Charging Station,"3820 Northdale Blvd, Tampa, FL 33624",N/A
ChargePoint Charging Station,"6550 W Hillsborough Ave, Tampa, FL 33634",2.7
Electric Vehicle Charging Station,"11001 N Florida Ave, Tampa, FL 33612",N/A
Tesla Supercharger,"E Bearss Ave #804, Tampa, FL 33613",4.5
InCharge Energy Charging Station,"13000 Town Center Dr, Clearwater, FL 33761",1
bp pulse Charging Station,"3780 Tampa Rd, Oldsmar, FL 34677",1
